text,sentiment
"Фильм просто бомба, смотрел на одном дыхании!",positive
"Ужасный сервис, больше никогда не закажу",negative
"Обычный день, ничего особенного",neutral
"Телефон супер, камера огонь, батарея держит двое суток",positive
"Доставка опоздала на неделю, товар пришёл битый",negative
"Кафе уютное, кофе вкусный",positive
"Цены задрали, а качество среднее",negative
"Всё нормально, без восторга",neutral
"Книга потрясающая, рекомендую всем",positive
"Интернет тормозит, поддержка молчит уже третий день",negative
"Погода сегодня никакая",neutral
"Ресторан отличный, официанты вежливые, кухня на уровне",positive
"Товар пришёл не тот, возврат денег занял месяц",negative
"Футболка обычная, как везде",neutral
"Игра просто шедевр, графика и сюжет на высоте",positive
"Приложение постоянно вылетает, удаляю",negative
"Магазин работает с 10 до 22, удобно",neutral
"Концерт был потрясающий, эмоции зашкаливают",positive
"Заказали пиццу — холодная и мало начинки",negative
"Парк чистый и красивый, гуляли с удовольствием",positive
"Такси приехало на 40 минут позже",negative
"Курс полезный, но слишком много теории",neutral
"Новый альбом группы — просто космос",positive
"Сайт постоянно виснет, не могу ничего купить",negative
"Дорога отремонтирована, ехать приятно",positive
"Очередь в поликлинике два часа",negative
"Книга скучная, еле дочитал",negative
"Сериал затянутый, но финал огонь",positive
"Дождь весь день, настроение никакое",neutral
"Качество сборки телефона на высоте",positive
"Банк заблокировал карту без объяснений",negative
"Метро пришло вовремя, доехал быстро",neutral
"Ребёнок в восторге от подарка",positive
"Товар пришёл с браком, возврат отказали",negative
"Прогулка по набережной удалась",positive
"Wi-Fi в кафе медленный",negative
"Учебник понятный и с примерами",positive
"Цветы завяли через два дня",negative
"Поездка прошла спокойно",neutral
"Конференция интересная, много полезного узнал",positive
"Заказ в интернет-магазине потеряли",negative
"Пицца горячая и вкусная",positive
"Приложение глючит на новом обновлении",negative
"Выставка понравилась, экспонаты крутые",positive
"Водитель такси вёл агрессивно",negative
"Погода отличная, пошли на пикник",positive
"Суперски провели время с друзьями",positive
"Очередь в кассу огромная",negative
"Кофе горький и пережаренный",negative
"Фильм посредственный, ожидал большего",neutral
"Отель чистый, персонал приветливый",positive
